uuid,day,hour,max_speed
Device_5,1,6,0.149999991
Device_5,1,7,1
Device_5,1,8,11.94999981
Device_5,1,9,0
Device_5,1,10,0
Device_5,1,11,0
Device_5,1,12,1.009999991
Device_5,1,13,0
Device_5,1,14,0
Device_5,1,15,0
Device_5,1,16,16.27999878
Device_5,1,17,1.649999976
Device_5,1,18,0.599999964
Device_5,1,19,0
Device_5,1,20,3.230000019
Device_5,1,21,4.380000114
Device_5,1,22,0
Device_5,1,23,0
Device_5,2,0,0.179999992
Device_5,2,5,0.469999999
Device_5,2,7,0
Device_5,2,8,17.19999886
Device_5,2,9,1.719999909
Device_5,2,10,1.069999933
Device_5,2,11,0
Device_5,2,12,0
Device_5,2,13,0
Device_5,2,14,0.629999995
Device_5,2,15,17.62999916
Device_5,2,16,1.279999971
Device_5,2,17,12.13000011
Device_5,2,18,15.2699995
Device_5,2,19,0
Device_5,2,20,15.21000004
Device_5,2,21,0
Device_5,3,1,0.149999991
Device_5,3,6,1.24000001
Device_5,3,8,0
Device_5,3,9,16.81999969
Device_5,3,10,0
Device_5,3,11,1.220000029
Device_5,3,12,16.52000046
Device_5,3,13,0
Device_5,3,14,1.159999967
Device_5,3,15,0
Device_5,3,16,0
Device_5,3,17,3.769999981
Device_5,3,18,3.569999933
Device_5,3,20,20.29999924
Device_5,3,22,19.01000023
Device_5,3,23,0.259999991
Device_5,4,0,0.259999991
Device_5,4,5,23.60000038
Device_5,4,6,0.299999982
Device_5,4,7,0
Device_5,4,8,0.569999993
Device_5,4,9,0.659999967
Device_5,4,10,1.329999924
Device_5,4,11,0
Device_5,4,12,0
Device_5,4,13,13.61999989
Device_5,4,14,15.69999981
Device_5,4,15,14.17999935
Device_5,4,16,0
Device_5,4,17,12.85999966
Device_5,4,18,14.50999928
Device_5,4,19,0
Device_5,4,20,16.76000023
Device_5,5,5,0.680000007
Device_5,5,8,0
Device_5,5,9,0
Device_5,5,10,0.389999986
Device_5,5,11,1.860000014
Device_5,5,12,0.779999971
Device_5,5,13,0.059999999
Device_5,5,15,1.639999986
Device_5,5,16,1.689999938
Device_5,5,17,14.22999954
Device_5,5,18,13.46000004
Device_5,5,19,17.73999977
Device_5,5,20,0
Device_5,5,21,0
Device_5,5,22,0
Device_5,6,0,0
Device_5,6,2,18.61999893
Device_5,6,6,0.299999982
Device_5,6,9,0.310000002
Device_5,6,10,0.179999992
Device_5,6,11,0
Device_5,6,12,0.629999995
Device_5,6,13,0.5
Device_5,6,14,0.159999996
Device_5,6,15,17.11999893
Device_5,6,16,1.949999929
Device_5,6,17,1.569999933
Device_5,6,19,0
Device_5,6,20,2.319999933
Device_5,6,21,0
Device_5,6,22,21.5
Device_5,6,23,0
