uuid,speed,timestamp,time,weekday,location
Device_5,0,2017-08-10 13:56:00,13:56:00,Thursday,"[47.5710443, -52.73586629999999]"
Device_5,0,2017-08-10 13:57:00,13:57:00,Thursday,"[47.570837, -52.7349375]"
Device_5,0,2017-08-10 13:58:00,13:58:00,Thursday,"[47.570623499999996, -52.734344799999995]"
Device_5,0,2017-08-10 14:01:00,14:01:00,Thursday,"[47.570719700000005, -52.73395279999999]"
Device_5,0,2017-08-10 14:03:00,14:03:00,Thursday,"[47.5704346, -52.7342863]"
Device_5,0,2017-08-10 14:06:00,14:06:00,Thursday,"[47.5706906, -52.7341402]"
Device_5,0,2017-08-10 14:08:00,14:08:00,Thursday,"[47.570519, -52.7341]"
Device_5,0,2017-08-10 14:09:00,14:09:00,Thursday,"[47.570519, -52.7341]"
Device_5,0,2017-08-10 14:11:00,14:11:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:12:00,14:12:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:14:00,14:14:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:16:00,14:16:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:16:00,14:16:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:18:00,14:18:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:20:00,14:20:00,Thursday,"[47.5706983, -52.734189799999996]"
Device_5,0,2017-08-10 14:21:00,14:21:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:23:00,14:23:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:24:00,14:24:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:27:00,14:27:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:28:00,14:28:00,Thursday,"[47.570410700000004, -52.73428199999999]"
Device_5,0,2017-08-10 14:30:00,14:30:00,Thursday,"[47.5710551, -52.733869299999995]"
Device_5,0,2017-08-10 14:30:00,14:30:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:34:00,14:34:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:36:00,14:36:00,Thursday,"[47.570760299999996, -52.733915]"
Device_5,0,2017-08-10 14:38:00,14:38:00,Thursday,"[47.5705816, -52.733734999999996]"
Device_5,0,2017-08-10 14:39:00,14:39:00,Thursday,"[47.5708777, -52.733548]"
Device_5,0,2017-08-10 14:41:00,14:41:00,Thursday,"[47.570869200000004, -52.7336428]"
Device_5,0,2017-08-10 14:42:00,14:42:00,Thursday,"[47.570859399999996, -52.7336169]"
Device_5,0,2017-08-10 14:42:00,14:42:00,Thursday,"[47.5707124, -52.734168200000006]"
Device_5,0,2017-08-10 14:49:00,14:49:00,Thursday,"[47.5706395, -52.7340346]"
Device_5,0,2017-08-10 14:50:00,14:50:00,Thursday,"[47.570519, -52.7341]"
Device_5,0,2017-08-10 14:51:00,14:51:00,Thursday,"[47.570519, -52.7341]"
Device_5,0,2017-08-10 14:54:00,14:54:00,Thursday,"[47.570519, -52.7341]"
Device_5,0,2017-08-10 14:56:00,14:56:00,Thursday,"[47.570519, -52.7341]"
Device_5,0,2017-08-10 14:57:00,14:57:00,Thursday,"[47.570706200000004, -52.7345043]"
Device_5,0,2017-08-10 14:58:00,14:58:00,Thursday,"[47.570700099999996, -52.734840399999996]"
Device_5,0,2017-08-10 14:59:00,14:59:00,Thursday,"[47.570542700000004, -52.73483589999999]"
