,index,uuid,weekday,hour,count,max,mean,time
98,7122,Device_3,Thursday,9,35,12.96,6.253428571428572,2019-11-25 09:16:00
99,7157,Device_3,Thursday,13,3,1.03,0.3433333333333333,2019-11-25 13:22:00
100,7160,Device_3,Thursday,19,28,12.78,7.808571428571429,2019-11-25 19:01:00
101,7188,Device_3,Thursday,20,17,11.17,5.448235294117646,2019-11-25 20:51:00
102,7205,Device_3,Thursday,22,17,11.38,7.490000000000001,2019-11-25 22:19:00
103,7222,Device_3,Tuesday,9,17,12.73,4.088823529411764,2019-11-25 09:26:00
104,7239,Device_3,Tuesday,13,15,5.03,1.2973333333333334,2019-11-25 13:04:00
105,7254,Device_3,Tuesday,17,3,1.57,0.9833333333333334,2019-11-25 17:20:00
106,7257,Device_3,Tuesday,18,2,0.0,0.0,2019-11-25 18:38:00
107,7259,Device_3,Tuesday,19,53,12.79,5.089056603773587,2019-11-25 19:30:00
108,7312,Device_3,Wednesday,9,22,12.19,6.549090909090911,2019-11-25 09:56:00
109,7334,Device_3,Wednesday,10,30,7.01,2.797333333333334,2019-11-25 10:00:00
110,7364,Device_3,Wednesday,14,12,3.99,1.6541666666666668,2019-11-25 14:54:00
111,7376,Device_3,Wednesday,15,1,0.0,0.0,2019-11-25 15:01:00
112,7377,Device_3,Wednesday,19,28,11.32,6.798571428571428,2019-11-25 19:39:00
113,7405,Device_4,Friday,8,8,1.95,1.6862499999999998,2019-11-25 08:58:00
114,7413,Device_4,Friday,9,41,2.19,1.7665853658536583,2019-11-25 09:00:00
115,7454,Device_4,Friday,12,5,1.47,0.568,2019-11-25 12:12:00
116,7459,Device_4,Friday,15,66,2.14,1.435454545454545,2019-11-25 15:12:00
117,7525,Device_4,Friday,16,49,1.96,1.6593877551020406,2019-11-25 16:34:00
118,7574,Device_4,Friday,17,19,9.27,6.1694736842105256,2019-11-25 17:30:00
119,7593,Device_4,Friday,18,26,13.58,8.342307692307694,2019-11-25 18:23:00
120,7619,Device_4,Friday,19,92,19.530001000000002,10.989782619565217,2019-11-25 19:13:00
121,7711,Device_4,Monday,8,40,2.37,1.7925,2019-11-25 08:49:00
122,7751,Device_4,Monday,9,1,0.0,0.0,2019-11-25 09:00:00
123,7752,Device_4,Monday,11,104,14.72,5.7002884615384595,2019-11-25 11:13:00
124,7856,Device_4,Monday,12,132,1.79,1.3336363636363637,2019-11-25 12:00:00
125,7988,Device_4,Monday,13,103,2.34,1.3499029126213589,2019-11-25 13:00:00
126,8091,Device_4,Monday,14,110,2.32,1.3989999999999987,2019-11-25 14:00:00
127,8201,Device_4,Monday,15,53,20.040001,13.57886786792453,2019-11-25 15:08:00
128,8254,Device_4,Monday,16,9,1.96,1.6088888888888888,2019-11-25 16:57:00
129,8263,Device_4,Monday,17,30,1.95,1.6039999999999999,2019-11-25 17:00:00
130,8293,Device_4,Saturday,20,28,20.09,10.007142892857141,2019-11-25 20:40:00
131,8321,Device_4,Saturday,21,22,12.17,6.249545454545454,2019-11-25 21:00:00
132,8343,Device_4,Sunday,12,1,0.3,0.3,2019-11-25 12:32:00
133,8344,Device_4,Sunday,16,57,19.32,10.878771964912282,2019-11-25 16:23:00
134,8401,Device_4,Thursday,8,4,4.92,2.465,2019-11-25 08:54:00
135,8405,Device_4,Thursday,9,34,2.07,1.7414705882352943,2019-11-25 09:00:00
136,8439,Device_4,Thursday,11,3,0.0,0.0,2019-11-25 11:34:00
137,8442,Device_4,Thursday,14,2,1.32,0.66,2019-11-25 14:39:00
138,8444,Device_4,Thursday,16,3,2.46,1.74,2019-11-25 16:36:00
139,8447,Device_4,Thursday,17,12,17.379998999999998,7.584999916666667,2019-11-25 17:20:00
140,8459,Device_4,Tuesday,8,46,2.28,1.8454347826086954,2019-11-25 08:47:00
141,8505,Device_4,Tuesday,9,164,20.82,4.953780512195124,2019-11-25 09:00:00
142,8669,Device_4,Tuesday,10,147,2.02,1.6478911564625853,2019-11-25 10:00:00
143,8816,Device_4,Tuesday,11,114,2.16,1.5581578947368424,2019-11-25 11:00:00
144,8930,Device_4,Tuesday,12,137,18.969998999999998,12.375474489051102,2019-11-25 12:05:00
145,9067,Device_4,Tuesday,16,43,3.57,1.5179069767441862,2019-11-25 16:26:00
146,9110,Device_4,Wednesday,8,22,2.45,1.8636363636363635,2019-11-25 08:53:00
147,9132,Device_4,Wednesday,9,50,16.690001000000002,5.931199999999999,2019-11-25 09:00:00
148,9182,Device_4,Wednesday,10,222,19.43,5.227657644144143,2019-11-25 10:00:00
149,9404,Device_4,Wednesday,11,187,2.31,1.625935828877006,2019-11-25 11:00:00
150,9591,Device_4,Wednesday,12,48,2.11,1.5743750000000005,2019-11-25 12:06:00
151,9639,Device_4,Wednesday,13,150,2.04,1.5569999999999997,2019-11-25 13:00:00
152,9789,Device_4,Wednesday,14,233,20.309998999999998,8.379999999999999,2019-11-25 14:00:00
153,10022,Device_4,Wednesday,15,18,20.1,10.560000000000002,2019-11-25 15:00:00
154,10040,Device_4,Wednesday,16,48,3.47,1.6749999999999998,2019-11-25 16:42:00
155,10088,Device_4,Wednesday,22,1,0.0,0.0,2019-11-25 22:14:00
156,10089,Device_5,Friday,0,2,0.25999999100000004,0.12999999550000002,2019-11-25 00:36:00
157,10091,Device_5,Friday,5,57,23.60000038,9.97385943738596,2019-11-25 05:09:00
158,10148,Device_5,Friday,6,5,0.299999982,0.1299999922,2019-11-25 06:01:00
159,10153,Device_5,Friday,7,2,0.0,0.0,2019-11-25 07:12:00
160,10155,Device_5,Friday,8,7,0.5699999929999999,0.13714285628571427,2019-11-25 08:00:00
161,10162,Device_5,Friday,9,7,0.6599999670000001,0.17428570985714287,2019-11-25 09:00:00
162,10169,Device_5,Friday,10,11,1.329999924,0.42909089545454543,2019-11-25 10:50:00
163,10180,Device_5,Friday,11,4,0.0,0.0,2019-11-25 11:23:00
164,10184,Device_5,Friday,12,1,0.0,0.0,2019-11-25 12:07:00
165,10185,Device_5,Friday,13,40,13.61999989,5.291749890775,2019-11-25 13:33:00
166,10225,Device_5,Friday,14,65,15.69999981,5.611538350092308,2019-11-25 14:09:00
167,10290,Device_5,Friday,15,54,14.17999935,6.470740592185186,2019-11-25 15:00:00
168,10344,Device_5,Friday,16,2,0.0,0.0,2019-11-25 16:55:00
169,10346,Device_5,Friday,17,31,12.85999966,7.004515986451612,2019-11-25 17:50:00
170,10377,Device_5,Friday,18,106,14.50999928,6.092830028339623,2019-11-25 18:00:00
171,10483,Device_5,Friday,19,12,0.0,0.0,2019-11-25 19:50:00
172,10495,Device_5,Friday,20,20,16.76000023,9.368999898750001,2019-11-25 20:01:00
173,10515,Device_5,Monday,0,1,0.25999999100000004,0.25999999100000004,2019-11-25 00:32:00
174,10516,Device_5,Monday,7,3,0.14000000099999999,0.046666666999999995,2019-11-25 07:04:00
175,10519,Device_5,Monday,8,2,0.0,0.0,2019-11-25 08:15:00
176,10521,Device_5,Monday,9,2,0.8199999929999999,0.40999999649999996,2019-11-25 09:10:00
177,10523,Device_5,Monday,11,2,0.14000000099999999,0.07000000049999999,2019-11-25 11:13:00
178,10525,Device_5,Monday,12,24,14.34999943,4.8995832155,2019-11-25 12:47:00
179,10549,Device_5,Monday,13,22,14.82999992,7.8281817000909095,2019-11-25 13:03:00
180,10571,Device_5,Monday,14,12,0.319999993,0.05749999858333333,2019-11-25 14:18:00
181,10583,Device_5,Monday,15,19,0.8199999929999999,0.055263156947368414,2019-11-25 15:00:00
182,10602,Device_5,Monday,16,3,0.0,0.0,2019-11-25 16:23:00
183,10605,Device_5,Monday,19,195,3.149999857,2.093846099415384,2019-11-25 19:14:00
184,10800,Device_5,Monday,20,103,17.43000031,6.656116367398057,2019-11-25 20:00:00
185,10903,Device_5,Monday,21,21,14.73999977,2.482380923904762,2019-11-25 21:10:00
186,10924,Device_5,Saturday,5,1,0.6800000070000001,0.6800000070000001,2019-11-25 05:47:00
187,10925,Device_5,Saturday,8,1,0.0,0.0,2019-11-25 08:14:00
188,10926,Device_5,Saturday,9,1,0.0,0.0,2019-11-25 09:01:00
189,10927,Device_5,Saturday,10,1,0.389999986,0.389999986,2019-11-25 10:47:00
190,10928,Device_5,Saturday,11,56,1.8600000140000001,0.8192856983035718,2019-11-25 11:16:00
191,10984,Device_5,Saturday,12,2,0.779999971,0.3899999855,2019-11-25 12:42:00
192,10986,Device_5,Saturday,13,2,0.059999999000000005,0.029999999500000003,2019-11-25 13:47:00
193,10988,Device_5,Saturday,15,47,1.6399999859999999,0.24234041789361702,2019-11-25 15:00:00
194,11035,Device_5,Saturday,16,23,1.6899999380000001,0.3565217298695652,2019-11-25 16:02:00
195,11058,Device_5,Saturday,17,158,14.22999954,2.0511391921202526,2019-11-25 17:00:00
196,11216,Device_5,Saturday,18,37,13.46000004,3.101621573891892,2019-11-25 18:00:00
197,11253,Device_5,Saturday,19,83,17.73999977,9.75120462278313,2019-11-25 19:18:00
198,11336,Device_5,Saturday,20,6,0.0,0.0,2019-11-25 20:00:00
199,11342,Device_5,Saturday,21,1,0.0,0.0,2019-11-25 21:17:00
200,11343,Device_5,Saturday,22,1,0.0,0.0,2019-11-25 22:59:00
201,11344,Device_5,Sunday,0,1,0.0,0.0,2019-11-25 00:44:00
202,11345,Device_5,Sunday,2,67,18.61999893,12.095820582014927,2019-11-25 02:02:00
203,11412,Device_5,Sunday,6,1,0.299999982,0.299999982,2019-11-25 06:05:00
204,11413,Device_5,Sunday,9,3,0.310000002,0.18999999766666667,2019-11-25 09:37:00
205,11416,Device_5,Sunday,10,3,0.179999992,0.05999999733333333,2019-11-25 10:09:00
206,11419,Device_5,Sunday,11,1,0.0,0.0,2019-11-25 11:25:00
207,11420,Device_5,Sunday,12,2,0.629999995,0.429999992,2019-11-25 12:15:00
208,11422,Device_5,Sunday,13,6,0.5,0.08333333333333333,2019-11-25 13:52:00
209,11428,Device_5,Sunday,14,22,0.159999996,0.011818181363636365,2019-11-25 14:00:00
210,11450,Device_5,Sunday,15,52,17.11999893,5.3278844953461535,2019-11-25 15:02:00
211,11502,Device_5,Sunday,16,26,1.949999929,0.5861538305384615,2019-11-25 16:00:00
212,11528,Device_5,Sunday,17,47,1.569999933,0.8608510406170211,2019-11-25 17:00:00
213,11575,Device_5,Sunday,19,1,0.0,0.0,2019-11-25 19:44:00
214,11576,Device_5,Sunday,20,61,2.319999933,0.6554098205245903,2019-11-25 20:26:00
215,11637,Device_5,Sunday,21,2,0.0,0.0,2019-11-25 21:06:00
216,11639,Device_5,Sunday,22,97,21.5,10.515257469927834,2019-11-25 22:05:00
217,11736,Device_5,Sunday,23,2,0.0,0.0,2019-11-25 23:16:00
218,11738,Device_5,Thursday,1,1,0.149999991,0.149999991,2019-11-25 01:59:00
219,11739,Device_5,Thursday,6,2,1.24000001,0.7100000009999999,2019-11-25 06:01:00
220,11741,Device_5,Thursday,8,1,0.0,0.0,2019-11-25 08:54:00
221,11742,Device_5,Thursday,9,42,16.81999969,4.636666639714285,2019-11-25 09:03:00
222,11784,Device_5,Thursday,10,10,0.0,0.0,2019-11-25 10:17:00
223,11794,Device_5,Thursday,11,34,1.2200000290000002,0.07411764738235294,2019-11-25 11:00:00
224,11828,Device_5,Thursday,12,38,16.52000046,7.315526163763158,2019-11-25 12:02:00
225,11866,Device_5,Thursday,13,2,0.0,0.0,2019-11-25 13:18:00
226,11868,Device_5,Thursday,14,8,1.159999967,0.5474999808750001,2019-11-25 14:39:00
227,11876,Device_5,Thursday,15,2,0.0,0.0,2019-11-25 15:26:00
228,11878,Device_5,Thursday,16,1,0.0,0.0,2019-11-25 16:34:00
229,11879,Device_5,Thursday,17,54,3.7699999810000002,2.3812962404259257,2019-11-25 17:23:00
230,11933,Device_5,Thursday,18,151,3.569999933,2.2058939839403973,2019-11-25 18:00:00
231,12084,Device_5,Thursday,20,131,20.29999924,10.96618304590839,2019-11-25 20:18:00
232,12215,Device_5,Thursday,22,144,19.01000023,10.470971976763892,2019-11-25 22:00:00
233,12359,Device_5,Thursday,23,4,0.25999999100000004,0.14499999600000002,2019-11-25 23:00:00
234,12363,Device_5,Tuesday,0,1,0.0,0.0,2019-11-25 00:29:00
235,12364,Device_5,Tuesday,1,1,0.01,0.01,2019-11-25 01:08:00
236,12365,Device_5,Tuesday,6,1,0.149999991,0.149999991,2019-11-25 06:45:00
237,12366,Device_5,Tuesday,7,4,1.0,0.42749999475,2019-11-25 07:07:00
238,12370,Device_5,Tuesday,8,17,11.94999981,0.909999982882353,2019-11-25 08:23:00
239,12387,Device_5,Tuesday,9,8,0.0,0.0,2019-11-25 09:07:00
240,12395,Device_5,Tuesday,10,3,0.0,0.0,2019-11-25 10:02:00
241,12398,Device_5,Tuesday,11,12,0.0,0.0,2019-11-25 11:05:00
242,12410,Device_5,Tuesday,12,19,1.009999991,0.08684210405263157,2019-11-25 12:00:00
243,12429,Device_5,Tuesday,13,1,0.0,0.0,2019-11-25 13:14:00
244,12430,Device_5,Tuesday,14,5,0.0,0.0,2019-11-25 14:03:00
245,12435,Device_5,Tuesday,15,5,0.0,0.0,2019-11-25 15:03:00
246,12440,Device_5,Tuesday,16,50,16.27999878,7.31619979878,2019-11-25 16:07:00
247,12490,Device_5,Tuesday,17,7,1.649999976,0.5528571264285714,2019-11-25 17:02:00
248,12497,Device_5,Tuesday,18,1,0.599999964,0.599999964,2019-11-25 18:59:00
249,12498,Device_5,Tuesday,19,36,0.0,0.0,2019-11-25 19:01:00
250,12534,Device_5,Tuesday,20,61,3.2300000189999998,0.7683606406721311,2019-11-25 20:06:00
251,12595,Device_5,Tuesday,21,143,4.3800001139999996,2.004475477111888,2019-11-25 21:00:00
252,12738,Device_5,Tuesday,22,4,0.0,0.0,2019-11-25 22:23:00
253,12742,Device_5,Tuesday,23,4,0.0,0.0,2019-11-25 23:04:00
254,12746,Device_5,Wednesday,0,1,0.179999992,0.179999992,2019-11-25 00:55:00
255,12747,Device_5,Wednesday,5,1,0.469999999,0.469999999,2019-11-25 05:07:00
256,12748,Device_5,Wednesday,7,2,0.0,0.0,2019-11-25 07:32:00
257,12750,Device_5,Wednesday,8,23,17.19999886,5.790434656826086,2019-11-25 08:12:00
258,12773,Device_5,Wednesday,9,14,1.719999909,0.6349999820000001,2019-11-25 09:01:00
259,12787,Device_5,Wednesday,10,15,1.069999933,0.07133332886666667,2019-11-25 10:10:00
260,12802,Device_5,Wednesday,11,2,0.0,0.0,2019-11-25 11:16:00
261,12804,Device_5,Wednesday,12,14,0.0,0.0,2019-11-25 12:01:00
262,12818,Device_5,Wednesday,13,14,0.0,0.0,2019-11-25 13:05:00
263,12832,Device_5,Wednesday,14,14,0.629999995,0.04499999964285715,2019-11-25 14:01:00
264,12846,Device_5,Wednesday,15,47,17.62999916,6.263616904063829,2019-11-25 15:25:00
265,12893,Device_5,Wednesday,16,3,1.2799999709999998,0.5799999833333332,2019-11-25 16:14:00
266,12896,Device_5,Wednesday,17,24,12.13000011,0.8474999937916666,2019-11-25 17:20:00
267,12920,Device_5,Wednesday,18,78,15.269999499999999,4.055512701743589,2019-11-25 18:00:00
268,12998,Device_5,Wednesday,19,21,0.0,0.0,2019-11-25 19:03:00
269,13019,Device_5,Wednesday,20,53,15.21000004,6.6526413635849035,2019-11-25 20:00:00
270,13072,Device_5,Wednesday,21,10,0.0,0.0,2019-11-25 21:02:00
